size_group,estimand,metric,radius,estimate,ci_low,ci_high
all,o2o,survival,0.0,1.0,1.0,1.0
all,o2o,cif_eligibility,0.0,0.0,0.0,0.0
all,o2o,cif_topk,0.0,0.0,0.0,0.0
all,o2o,cif_conflict,0.0,0.0,0.0,0.0
all,o2o,cif_within_set,0.0,0.0,0.0,0.0
all,o2o,cif_other,0.0,0.0,0.0,0.0
all,o2o,survival,0.0009765625,0.9888422265929913,0.9870211949311875,0.9906402730146899
all,o2o,cif_eligibility,0.0009765625,0.010812118916229574,0.009024662862492375,0.012627921801079134
all,o2o,cif_topk,0.0009765625,0.0,0.0,0.0
all,o2o,cif_conflict,0.0009765625,0.0,0.0,0.0
all,o2o,cif_within_set,0.0009765625,0.000345654490779119,0.00012367169835323549,0.0006062158541180977
all,o2o,cif_other,0.0009765625,0.0,0.0,0.0
all,o2o,survival,0.001953125,0.9883928127582339,0.9865473578143866,0.9902479661967685
all,o2o,cif_eligibility,0.001953125,0.010915878260207868,0.009100766765831741,0.012764125293330309
all,o2o,cif_topk,0.001953125,0.0,0.0,0.0
all,o2o,cif_conflict,0.001953125,0.0,0.0,0.0
all,o2o,cif_within_set,0.001953125,0.0006913089815582379,0.0003705969497910621,0.0010690619340519897
all,o2o,cif_other,0.001953125,0.0,0.0,0.0
all,o2o,survival,0.0029296875,0.9879779853714692,0.9860928354020907,0.989812503572179
all,o2o,cif_eligibility,0.0029296875,0.010950464708200632,0.009144161949581507,0.012787580130723378
all,o2o,cif_topk,0.0029296875,0.0,0.0,0.0
all,o2o,cif_conflict,0.0029296875,0.0,0.0,0.0
all,o2o,cif_within_set,0.0029296875,0.0010715499203301213,0.0006806188846556133,0.0015086007407400736
all,o2o,cif_other,0.0029296875,0.0,0.0,0.0
all,o2o,survival,0.00390625,0.9876329608481357,0.9857515644952426,0.9894982614504507
all,o2o,cif_eligibility,0.00390625,0.010985051156193396,0.009183294077783037,0.012821429613595088
all,o2o,cif_topk,0.00390625,0.0,0.0,0.0
all,o2o,cif_conflict,0.00390625,0.0,0.0,0.0
all,o2o,cif_within_set,0.00390625,0.001381987995670893,0.0008914419790571026,0.0019299485831401136
all,o2o,cif_other,0.00390625,0.0,0.0,0.0
all,o2o,survival,0.0048828125,0.9873562692641935,0.9854667877789608,0.9892528433173026
all,o2o,cif_eligibility,0.0048828125,0.010985051156193396,0.009183294077783037,0.012821429613595088
all,o2o,cif_topk,0.0048828125,0.0,0.0,0.0
all,o2o,cif_conflict,0.0048828125,0.0,0.0,0.0
all,o2o,cif_within_set,0.0048828125,0.00165867957961301,0.0010951779355394878,0.0022962193624232194
all,o2o,cif_other,0.0048828125,0.0,0.0,0.0
all,o2o,survival,0.005859375,0.9870449912322586,0.9851164259242895,0.9889674753552877
all,o2o,cif_eligibility,0.005859375,0.011054224052178926,0.009260040853226605,0.012890290257014391
all,o2o,cif_topk,0.005859375,0.0,0.0,0.0
all,o2o,cif_conflict,0.005859375,0.0,0.0,0.0
all,o2o,cif_within_set,0.005859375,0.0019007847155623624,0.0013101929478670405,0.0025818334075129656
all,o2o,cif_other,0.005859375,0.0,0.0,0.0
all,o2o,survival,0.0068359375,0.9869414418774288,0.9850019352425546,0.9888629529457077
all,o2o,cif_eligibility,0.0068359375,0.011054224052178926,0.009260040853226605,0.012890290257014391
all,o2o,cif_topk,0.0068359375,0.0,0.0,0.0
all,o2o,cif_conflict,0.0068359375,0.0,0.0,0.0
all,o2o,cif_within_set,0.0068359375,0.0020043340703921287,0.0014201255220240563,0.002683552306386145
all,o2o,cif_other,0.0068359375,0.0,0.0,0.0
all,o2o,survival,0.0078125,0.9864234851141315,0.9844587617343211,0.9883795737647444
all,o2o,cif_eligibility,0.0078125,0.011123396948164456,0.009311276294349989,0.012965539663564198
all,o2o,cif_topk,0.0078125,0.0,0.0,0.0
all,o2o,cif_conflict,0.0078125,0.0,0.0,0.0
all,o2o,cif_within_set,0.0078125,0.002453117937703959,0.0018048767437711085,0.0031679628104417747
all,o2o,cif_other,0.0078125,0.0,0.0,0.0
all,o2o,survival,0.0087890625,0.9860782506016493,0.9841061220345275,0.9880510708350775
all,o2o,cif_eligibility,0.0087890625,0.01115798339615722,0.009343053100873614,0.013016868360047819
all,o2o,cif_topk,0.0087890625,0.0,0.0,0.0
all,o2o,cif_conflict,0.0087890625,0.0,0.0,0.0
all,o2o,cif_within_set,0.0087890625,0.002763766002193258,0.0020994447952376824,0.0034709065319212555
all,o2o,cif_other,0.0087890625,0.0,0.0,0.0
all,o2o,survival,0.009765625,0.985697799673729,0.98370501894328,0.9876829167517004
all,o2o,cif_eligibility,0.009765625,0.011192569844149984,0.009377330315475534,0.013037889469174065
all,o2o,cif_topk,0.009765625,0.0,0.0,0.0
all,o2o,cif_conflict,0.009765625,0.0,0.0,0.0
all,o2o,cif_within_set,0.009765625,0.0031096304821209043,0.0024078133165213915,0.0038514447298318814
all,o2o,cif_other,0.009765625,0.0,0.0,0.0
all,o2o,survival,0.0107421875,0.9852140093801274,0.9832540611223859,0.987151251150128
all,o2o,cif_eligibility,0.0107421875,0.011227156292142748,0.009436356421889183,0.013064458533179663
all,o2o,cif_topk,0.0107421875,0.0,0.0,0.0
all,o2o,cif_conflict,0.0107421875,3.4586447992764634e-05,0.0,0.00010963804776710837
all,o2o,cif_within_set,0.0107421875,0.003524247879737025,0.0028156087630854952,0.004272069017007639
all,o2o,cif_other,0.0107421875,0.0,0.0,0.0
all,o2o,survival,0.01171875,0.9849375277853338,0.9829934526554509,0.986821120624477
all,o2o,cif_eligibility,0.01171875,0.011261742740135512,0.009479861556633084,0.013093689202623045
all,o2o,cif_topk,0.01171875,0.0,0.0,0.0
all,o2o,cif_conflict,0.01171875,3.4586447992764634e-05,0.0,0.00010963804776710837
all,o2o,cif_within_set,0.01171875,0.00376614302653785,0.0030742786640278207,0.004496113139834077
all,o2o,cif_other,0.01171875,0.0,0.0,0.0
all,o2o,survival,0.0126953125,0.9845918732945548,0.9826167611985421,0.9865226100484048
all,o2o,cif_eligibility,0.0126953125,0.011330915636121042,0.009534616827771542,0.013152880765526998
all,o2o,cif_topk,0.0126953125,0.0,0.0,0.0
all,o2o,cif_conflict,0.0126953125,3.4586447992764634e-05,0.0,0.00010963804776710837
all,o2o,cif_within_set,0.0126953125,0.00404262462133144,0.003284361490389715,0.004853841231781373
all,o2o,cif_other,0.0126953125,0.0,0.0,0.0
all,o2o,survival,0.013671875,0.9843501881369024,0.9823601918971037,0.9863347573206663
all,o2o,cif_eligibility,0.013671875,0.01136529209496528,0.009569803386069381,0.013198809645722915
all,o2o,cif_topk,0.013671875,0.0,0.0,0.0
all,o2o,cif_conflict,0.013671875,3.4586447992764634e-05,0.0,0.00010963804776710837
all,o2o,cif_within_set,0.013671875,0.004249933320139501,0.0034320365621453857,0.005132283110237162
all,o2o,cif_other,0.013671875,0.0,0.0,0.0
all,o2o,survival,0.0146484375,0.9840389101049676,0.9820040199685866,0.9860297915313814
all,o2o,cif_eligibility,0.0146484375,0.01136529209496528,0.009569803386069381,0.013198809645722915
all,o2o,cif_topk,0.0146484375,0.0,0.0,0.0
all,o2o,cif_conflict,0.0146484375,6.917289598552928e-05,0.0,0.00017675455307750493
all,o2o,cif_within_set,0.0146484375,0.004526624904081618,0.0036747803334778763,0.005472372273363512
all,o2o,cif_other,0.0146484375,0.0,0.0,0.0
all,o2o,survival,0.015625,0.9835555397896629,0.981505969634514,0.9855881465713076
all,o2o,cif_eligibility,0.015625,0.011399668553809517,0.009582233053425654,0.01323894577134457
all,o2o,cif_topk,0.015625,0.0,0.0,0.0
all,o2o,cif_conflict,0.015625,6.917289598552928e-05,0.0,0.00017675455307750493
all,o2o,cif_within_set,0.015625,0.004975618760541975,0.004095804168437888,0.00592711704004868
all,o2o,cif_other,0.015625,0.0,0.0,0.0
all,o2o,survival,0.0166015625,0.9831755088400396,0.9810554140986447,0.985278193530149
all,o2o,cif_eligibility,0.0166015625,0.011434045012653755,0.009616246341930998,0.013279134131599608
all,o2o,cif_topk,0.0166015625,0.0,0.0,0.0
all,o2o,cif_conflict,0.0166015625,6.917289598552928e-05,0.0,0.00017675455307750493
all,o2o,cif_within_set,0.0166015625,0.005321273251321094,0.004381453746221255,0.00635246179404
all,o2o,cif_other,0.0166015625,0.0,0.0,0.0
all,o2o,survival,0.017578125,0.9828298543492604,0.9805810577194453,0.9849896465141316
all,o2o,cif_eligibility,0.017578125,0.011434045012653755,0.009616246341930998,0.013279134131599608
all,o2o,cif_topk,0.017578125,0.0,0.0,0.0
all,o2o,cif_conflict,0.017578125,0.00010354935482976642,0.0,0.0002256127235423862
all,o2o,cif_within_set,0.017578125,0.0056325512832559755,0.004648831057844542,0.006702442507704551
all,o2o,cif_other,0.017578125,0.0,0.0,0.0
all,o2o,survival,0.0185546875,0.9825879592024596,0.9802834162687065,0.9847769551106096
all,o2o,cif_eligibility,0.0185546875,0.01146863146064652,0.00965412692659378,0.013325236072455737
all,o2o,cif_topk,0.0185546875,0.0,0.0,0.0
all,o2o,cif_conflict,0.0185546875,0.00010354935482976642,0.0,0.0002256127235423862
all,o2o,cif_within_set,0.0185546875,0.005839859982064036,0.004819509705414827,0.006946904489438101
all,o2o,cif_other,0.0185546875,0.0,0.0,0.0
all,o2o,survival,0.01953125,0.9821041689088579,0.9797324499864593,0.984352963471298
all,o2o,cif_eligibility,0.01953125,0.011503217908639283,0.009688955619420878,0.013349209019589196
all,o2o,cif_topk,0.01953125,0.0,0.0,0.0
all,o2o,cif_conflict,0.01953125,0.00010354935482976642,0.0,0.0002256127235423862
all,o2o,cif_within_set,0.01953125,0.006289063827672922,0.0051624932808289675,0.007540415816321513
all,o2o,cif_other,0.01953125,0.0,0.0,0.0
all,o2o,survival,0.0205078125,0.9815512057192708,0.979135548166725,0.9838807775778136
all,o2o,cif_eligibility,0.0205078125,0.011537804356632047,0.009716212327677559,0.01338413002020153
all,o2o,cif_topk,0.0205078125,0.0,0.0,0.0
all,o2o,cif_conflict,0.0205078125,0.00017272225081529571,3.208585127427325e-05,0.0003717757328247911
all,o2o,cif_within_set,0.0205078125,0.006738267673281807,0.005557038463035543,0.008013739192746502
all,o2o,cif_other,0.0205078125,0.0,0.0,0.0
all,o2o,survival,0.021484375,0.9811713847587961,0.9787712093393736,0.9835230281661239
